Name,Lines,Lat,Lng,Zone ID
abbiategrasso,M2  ,45.429994,9.1773228,3455
affori centro,M3  ,45.513728,9.1738369,7453
affori fn,M3  ,45.520376,9.1695159,7752
amendola,M1  ,45.473660,9.1511074,5546
bande nere,M1  ,45.461932,9.1369616,4941
bicocca,M5  ,45.516190,9.2057175,7564
bignami,M5  ,45.525694,9.2112444,7966
bisceglie,M1  ,45.455038,9.1125389,4633
bonola,M1  ,45.496160,9.1108118,6533
brenta,M3  ,45.443933,9.2164517,4168
buonarroti,M1  ,45.470955,9.1546904,5447
bussero,M2  ,45.525301,9.3758969,7999
ca' granda,M5  ,45.506006,9.2008006,7062
cadorna,M1 M2 ,45.467477,9.1767141,5254
caiazzo,M2  ,45.485612,9.2093066,6165
cairoli,M1  ,45.468314,9.1825790,5256
cascina antonietta,M2  ,45.542079,9.4235001,8799
cascina burrona,M2  ,45.517364,9.2978354,7695
cascina gobba,M2  ,45.511423,9.2603458,7382
cassina de' pecchi,M2  ,45.521864,9.3631216,7899
cenisio,M5  ,45.487402,9.1730550,6153
centrale,M2 M3 ,45.486997,9.2027767,6163
cernusco sul naviglio,M2  ,45.521069,9.3313777,7799
cimiano,M2  ,45.499602,9.2421291,6776
cologno centro,M2  ,45.528078,9.2828184,8190
cologno nord,M2  ,45.535504,9.2920093,8493
cologno sud,M2  ,45.519744,9.2739786,7787
comasina,M3  ,45.528838,9.1633249,8150
conciliazione,M1  ,45.467647,9.1655452,5251
cordusio,M1  ,45.465852,9.1854710,5157
corvetto,M3  ,45.439644,9.2232917,3970
crescenzago,M2  ,45.505142,9.2466010,7078
crocetta,M3  ,45.455934,9.1956000,4661
de angeli,M1  ,45.466338,9.1476355,5145
dergano,M3  ,45.504717,9.1800078,7056
domodossola,M5  ,45.481445,9.1618512,5950
duomo,M1 M3 ,45.463212,9.1897229,5059
famagosta,M2  ,45.436577,9.1687274,3752
gambara,M1  ,45.464505,9.1417625,5143
garibaldi,M2 M5 ,45.483639,9.1867424,6058
gerusalemme,M5  ,45.484521,9.1667777,6051
gessate,M2  ,45.545287,9.4366251,8999
gioia,M2  ,45.485163,9.1957347,6061
gorgonzola,M2  ,45.536741,9.4034541,8599
gorla,M1  ,45.506678,9.2230603,7070
inganni,M1  ,45.457253,9.1226258,4736
isola,M5  ,45.487608,9.1912634,6159
istria,M5  ,45.501985,9.1966457,6861
lambrate,M2  ,45.484247,9.2348298,6074
lampugnano,M1  ,45.489462,9.1243446,6237
lanza,M2  ,45.472342,9.1816190,5456
lima,M1  ,45.480394,9.2109506,5866
loreto,M1 M2 ,45.485888,9.2156475,6167
maciachini,M3  ,45.497959,9.1845908,6657
marche,M5  ,45.495916,9.1943847,6560
missori,M3  ,45.460203,9.1888420,4858
molino dorino,M1  ,45.505095,9.0930780,7027
montenapoleone,M3  ,45.469306,9.1920049,5360
monumentale,M5  ,45.484603,9.1806335,6056
moscova,M2  ,45.477757,9.1841170,5757
pagano,M1  ,45.468179,9.1610123,5249
palestro,M1  ,45.472635,9.2030947,5463
pasteur,M1  ,45.490874,9.2179185,6368
pero,M1  ,45.511069,9.0855930,7324
piola,M2  ,45.480764,9.2253764,5871
ponale,M5  ,45.522175,9.2098454,7865
porta genova,M2  ,45.452222,9.17,4552
porta romana,M3  ,45.451434,9.2034002,4463
porta venezia,M1  ,45.475,9.205556,5564
portello,M5  ,45.481463,9.1516613,5946
porto di mare,M3  ,45.437877,9.2318166,3873
precotto,M1  ,45.513027,9.2246503,7370
primaticcio,M1  ,45.459671,9.1306697,4839
qt8,M1  ,45.485833,9.1374975,6141
repubblica,M3  ,45.477872,9.1961298,5761
rogoredo,M3  ,45.434374,9.2366965,3674
romolo,M2  ,45.443647,9.1673213,4151
rovereto,M1  ,45.495201,9.2195944,6569
san babila,M1  ,45.465565,9.1982949,5162
san donato,M3  ,45.428593,9.2557273,3481
san siro ippodromo,M5  ,45.476127,9.1284106,5638
san siro stadio,M5  ,45.476336,9.1184418,5635
segesta,M5  ,45.475099,9.1369786,5641
sesto marelli,M1  ,45.523924,9.2287641,7972
sondrio,M3  ,45.489971,9.2002397,6362
turati,M3  ,45.475562,9.1946589,5660
turro,M1  ,45.500116,9.2216984,6769
udine,M2  ,45.490513,9.2370612,6375
uruguay,M1  ,45.493456,9.1199207,6436
villa san giovanni,M1  ,45.516845,9.2260932,7571
wagner,M1  ,45.468019,9.1561934,5248
