Date-time,Text, Unix Timestamp

5:31 AM - 24 Dec 2013,@josephmitra you need a combined fare. Please see "abbonamento cumulativo area media" at this page: http://bit.ly/AbbCumulativi .,1387891880

11:02 AM - 24 Dec 2013,I tweet di infomobilità tornano il 2/1. Arrivederci e buone feste da #ATM e dal social media team di ATM Informa.,1387911720

2:05 AM - 24 Dec 2013,#tram24: riprende regolarmente (dopo deviazione per auto in sosta irregolare). #ATM,1387879538

1:09 AM - 24 Dec 2013,#tram3: fa capolinea in via Torino (auto in sosta irregolare in via Cantù/Spadari). #ATM,1387876198

10:37 AM - 24 Dec 2013,@AlessandroMar #M2 seguirà l'orario festivo e sarà in servizio dalle 7 alle 19.30 circa: http://bit.ly/1cPTwXD . Ti auguriamo buone feste.,1387910235

9:20 AM - 24 Dec 2013,#tram5 > Ortica: devia tra Filzi/Galvani e Lazzaretto/Tunisia (auto sui binari). Nella tratta in deviazione utilizzate #bus60. #ATM #Milano,1387905634

8:55 AM - 24 Dec 2013,#M2: la circolazione riprende regolare su tutta la linea dopo i rallentamenti (inconveniente tecnico risolto). #ATM #Milano,1387904156

8:11 AM - 24 Dec 2013,#M2: rallentamenti nella tratta Cascina Gobba - Gessate (inconveniente tecnico in risoluzione). #ATM #Milano,1387901494

6:56 AM - 24 Dec 2013,#tram3: riprende il percorso regolare dopo deviazione per auto in sosta sui binari. #ATM #Milano,1387897017

5:58 AM - 24 Dec 2013,@manuelemariani qui raccogliamo i suggerimenti utili a migliorare il nostro servizio: http://bit.ly/WWEdnV . Grazie per averci scritto.,1387893526

5:08 AM - 24 Dec 2013,#tram27: riprende regolarmente con possibili rallentamenti (intervento tecnico concluso). #ATM,1387890492

4:58 AM - 24 Dec 2013,#tram27: termina in pza Ovidio (intervento tecnico a una vettura sulla linea). Bus tra pza Ovidio e il capolinea Ungheria. #ATM,1387889934

4:22 AM - 24 Dec 2013,@manuelemariani i vostri suggerimenti sono benvenuti. Li raccogliamo tutti tramite questo form: http://bit.ly/WWEdnV . Grazie e buone feste,1387887727

4:03 AM - 24 Dec 2013,#tram1 > Castelli: devia da pza Firenze e riprende regolarmente in Castelli (auto in sosta irregolare). Bus da pza Firenze a Castelli.,1387886633

2:34 AM - 24 Dec 2013,#bus60: rallentamenti (traffico intenso in zona via Eustachi/Vitruvio). #ATM,1387881293

2:02 AM - 24 Dec 2013,#tram24 > Selvanesco: devia da Missori a Bligny/Ripamonti (auto in sosta irregolare in pta Vigentina). Bus tra Missori e Bligny/Ripamonti.,1387879330

10:59 PM - 23 Dec 2013,#Natale  #capodanno  #Epifania: tutte le informazioni sulle linee #ATM durante le feste alla pagina: http://bit.ly/1cFbdJs .,1387868365

10:47 PM - 23 Dec 2013,Dal 27/12 #tram2 #tram4 #tram7 modificano il percorso per 15 giorni (lavori in via Farini/Ferrari). Info: http://bit.ly/1kXWI85 . #ATM,1387867654

10:37 PM - 23 Dec 2013,Buongiorno da #ATM. Circolazione normale sulla rete metropolitana e di superficie. Twittiamo aggiornamenti fino alle 20.,1387867021

10:15 AM - 23 Dec 2013,@deboracca ti segnaliamo questo link: http://bit.ly/1c1AW1g   qui trovi le modifiche di percorso che interessano la linea fino al 7 gennaio.,1387822557

8:48 AM - 23 Dec 2013,@LuigiZucca ciao  a questo link http://bit.ly/JHAxIb  potrai trovare tutte le informazioni utili per essere aggiornato. Grazie.,1387817317

7:30 AM - 23 Dec 2013,@byruit ciao  tutte le info sul servizio previsto da Natale all'Epifania puoi trovarle a questo link: http://bit.ly/1cFbdJs . Buona serata.,1387812618

5:18 AM - 23 Dec 2013,#tram1 #tram12 #bus54 #bus61 #bus68 #bus70 #bus92 #bus94 #bus95: rallentamenti (traffico in diverse zone della città). #ATM #Milano,1387804682

3:45 AM - 23 Dec 2013,Dal 27/12: #tram2 #tram4 #tram7 modificano il percorso per 15 giorni circa (lavori di M5 in via Farini/Ferrari) http://bit.ly/1kXWI85 . #ATM,1387799130

3:06 AM - 23 Dec 2013,#bus77 > Poasco #bus140 > Rogoredo: riprendono il percorso regolare dopo deviazione per lavori stradali. #ATM #Milano,1387796784

2:24 AM - 23 Dec 2013,@bianchettim7 ciao Marcello  ti ricordiamo che oggi  sia in superficie che metro  c'è l'orario del sabato. Info http://bit.ly/1cFbdJs .,1387794282

2:17 AM - 23 Dec 2013,Fino al 6/1: il servizio #ATM previsto nel periodo di Natale  Capodanno ed Epifania a #Milano per tram  bus e metro http://bit.ly/1cFbdJs .,1387793834

1:22 AM - 23 Dec 2013,@Madteo7 i treni circolano in modo regolare sulla linea. Maggiori dettagli sull'orario di #M1 e delle altre linee: http://bit.ly/1cFbdJs .,1387790553

12:26 AM - 23 Dec 2013,@alezzandro1986 puoi consultare gli orari su GiroMilano http://bit.ly/GiroMilano   selezionando la linea #M2 e la fermata che ti interessa.,1387787186

11:22 PM - 22 Dec 2013,@MatCas71 una vettura è in arrivo alla fermata. Ecco il servizio ATM per i prossimi giorni: http://bit.ly/1cFbdJs .,1387783363

11:15 PM - 22 Dec 2013,#tram3 #tram15: rallentamenti (inconveniente tecnico). #ATM #Milano,1387782900

10:52 PM - 22 Dec 2013,@st_75 ciao  i treni delle linea viaggiano normalmente. A questo link http://bit.ly/1cFbdJs  trovi maggiori info relative ai nuovi orari.,1387781530

10:34 PM - 22 Dec 2013,@RassTigre7043 la circolazione sulla linea è normale. Oggi è in vigore l'orario del sabato  maggiori info qui: http://bit.ly/1cFbdJs .,1387780497

10:14 PM - 22 Dec 2013,#tram7 #tram12 #tram14: rallentamenti (auto in sosta irregolare). #ATM #Milano,1387779248

10:13 PM - 22 Dec 2013,#bus140 > Rogoredo: termina al Cimitero di Chiaravalle (lavori stradali). Bus di collegamento tra il Cimitero di Chiaravalle e Rogoredo.,1387779190

10:08 PM - 22 Dec 2013,#bus77 > Poasco: termina in via San Dionigi/Sant’Arialdo (lavori stradali). Bus tra via San Dionigi  Cimitero di Chiaravalle e Poasco. #ATM,1387778911

10:00 PM - 22 Dec 2013,Buon inizio settimana da @atm_informa. Anche oggi vi teniamo informati con aggiornamenti in tempo reale sullo stato delle linee  seguiteci.,1387778447

11:01 AM - 22 Dec 2013,#ATM vi augura buona serata. I tweet di infomobilità tornano domani alle 7 per informarvi sulla circolazione in superficie e metro a #Milano,1387738866

10:07 AM - 22 Dec 2013,#tram16: riprende il percorso regolare dopo deviazione (intervento dei Vigili del Fuoco concluso). #ATM #Milano,1387735632

7:19 AM - 22 Dec 2013,#bus77: bus di collegamento tra via San Dionigi  Cimitero di Chiaravalle e Poasco (intervento delle Forze dell'Ordine in via Sant’Arialdo).,1387725557

4:29 AM - 22 Dec 2013,#M1 #M2 #M3 #M5: la circolazione è normale per tutte le destinazioni. Twittiamo aggiornamenti fino alle 20. Buona domenica pomeriggio. #ATM,1387715382

3:27 AM - 22 Dec 2013,@_Fr4nc1s ci scusiamo per il disagio. L'auto in sosta irregolare è stata rimossa e la linea ha ripreso regolarmente.,1387711633

2:46 AM - 22 Dec 2013,#Natale  #capodanno  #Epifania: la guida ai servizi #ATM durante le feste alla pagina: http://bit.ly/1cFbdJs ,1387709188

2:19 AM - 22 Dec 2013,#tram7: sospesa tra viale Testi/Ca’ Granda e viale Testi/Pulci (auto in sosta irregolare). Bus di collegamento nella tratta non percorsa.,1387707582

1:01 AM - 22 Dec 2013,#InterMilan stasera: info sulle navette e le altre linee #ATM per raggiungere San Siro alla pagina http://bit.ly/JJT5ac . #SerieA #derby,1387702865

12:41 AM - 22 Dec 2013,#Natale: gli orari di #M1 #M2 #M3 il 25 dicembre e altre informazioni alla pagina http://www.atm.it/it/ViaggiaConNoi/InfoTraffico/Documents/metro.pdf … #ATM,1387701680

11:59 PM - 21 Dec 2013,#Natale  #capodanno  #Epifania: orari e informazioni sulle linee #ATM durante le feste alla pagina http://bit.ly/1cFbdJs ,1387699146

11:40 PM - 21 Dec 2013,#tram12 e #tram27: riprendono regolarmente con possibili rallentamenti (dopo deviazione per incidente tra veicoli privati in vle Corsica).,1387698031

10:11 PM - 21 Dec 2013,#bus701 #bus707: oggi modificano il percorso fino alle 16 circa (mercato). Informazioni alla pagina http://bit.ly/1gDAo6h . #ATM,1387692719

10:07 PM - 21 Dec 2013,#tram27: termina in piazza 5 Giornate (urto tra veicoli privati in vle Corsica). Bus di collegamento fino al capolinea Ungheria. #ATM,1387692464

10:02 PM - 21 Dec 2013,Buongiorno e buona domenica. Fino alle 20 twittiamo aggiornamenti in tempo reale sullo stato di tram  bus  filobus e metropolitane. #ATM,1387692162

11:02 AM - 21 Dec 2013,Arrivederci da #ATM Informa. Seguiteci anche domani se volete restare aggiornati sulla circolazione dei mezzi pubblici a #Milano.,1387652570

10:30 AM - 21 Dec 2013,22/12: #bus321 modifica il percorso a Corsico per l'intera giornata (mercati di Natale in via Verdi) http://bit.ly/1bwmpeL . #ATM,1387650650

10:00 AM - 21 Dec 2013,#Inter - #Milan: ecco il servizio di #ATM in occasione del derby di domani sera a San Siro http://bit.ly/JJT5ac . #SerieA #Milano,1387648851

8:58 AM - 21 Dec 2013,#bus54 #bus61: rallentamenti (traffico intenso). #ATM #Milano,1387645120

7:04 AM - 21 Dec 2013,#bus86 > Gobba: riprende il percorso regolare dopo deviazione per urto tra mezzi privati. #ATM #Milano,1387638247

6:10 AM - 21 Dec 2013,#bus86 > Gobba: devia da viale Suzzani a viale Fulvio Testi (urto tra mezzi privati). #ATM #Milano,1387635050

3:58 AM - 21 Dec 2013,#M1 #M2 #M3 #M5: al momento la circolazione dei treni è normale in tutte le direzioni. #Milano #ATM,1387627096

3:41 AM - 21 Dec 2013,#bus60: rallentamenti (traffico in via Plinio/Duca d’Aosta). #ATM #Milano,1387626098

3:40 AM - 21 Dec 2013,22/12: #bus701 #bus707 modificano il percorso dall‘inizio del servizio fino alle 16 circa (mercato) http://bit.ly/1gDAo6h . #ATM,1387626018

3:18 AM - 21 Dec 2013,#bus56 #bus93: rallentamenti (rispettivamente per traffico in via Padova e in via Sismondi/Gorini). #ATM #Milano,1387624696

1:41 AM - 21 Dec 2013,#tram33 > Rimembranze di Lambrate: riprende il percorso regolare fino al capolinea con rallentamenti. #ATM #Milano,1387618916

