Datetime,Unix Timestamp,Text
5:31 AM - 24 Dec 2013,1387891880,@josephmitra you need a combined fare. Please see "cumulative subscription media area" at this page: http://bit.ly/AbbCumulativi.
11:02 AM - 24 Dec 2013,1387911720,2/1 mobility return on Tweets. Goodbye and Merry Christmas from #ATM and from the social media team of ATM informs.
2:05 AM - 24 Dec 2013,1387879538,#tram24: resumes on a regular basis (after turning for parked cars). #ATM
1:09 AM - 24 Dec 2013,1387876198,#tram3: stops in via Torino (irregular parked cars in via Cantù/Spadari). #ATM
10:37 AM - 24 Dec 2013,1387910235,@AlessandroMar #M2 will follow the timetable and will be on duty from 7 am to 19.30 approx: http://bit.ly/1cPTwXD. We wish you happy holidays.
9:20 AM - 24 Dec 2013,1387905634,#tram5 > nettle: deviates between Filzi/Galvani and Lazzaretto/Tunisia (drive on the tracks). Trafficking in deviation used #bus60. #ATM #Milano
8:55 AM - 24 Dec 2013,1387904156,#M2: the circulation resumes regular across the Board after delays (technical problem solved). #ATM #Milano
8:11 AM - 24 Dec 2013,1387901494,#M2: slowdowns in Cascina Gobba-Gessate (technical glitch in resolution). #ATM #Milano
6:56 AM - 24 Dec 2013,1387897017,#tram3: resumes the regular route after turning for parked cars on the tracks. #ATM #Milano
5:58 AM - 24 Dec 2013,1387893526,@manuelemariani here we collect useful suggestions to improve our service: http://bit.ly/WWEdnV. Thanks for writing.
5:08 AM - 24 Dec 2013,1387890492,#tram27: resumes regularly with possible delays (technical assistance completed). #ATM
4:58 AM - 24 Dec 2013,1387889934,#tram27: ends in pza Ovid (technical intervention in a car on the line). Bus between Ovid and the terminus Hungary pza. #ATM
4:22 AM - 24 Dec 2013,1387887727,@manuelemariani your suggestions are welcome. Collect them all through this form: http://bit.ly/WWEdnV. Thanks and happy holidays
4:03 AM - 24 Dec 2013,1387886633,#tram1 > Castles: deviates from pza Florence and resumed regularly in castles (irregular parked cars). Bus from pza Florence to castles.
2:34 AM - 24 Dec 2013,1387881293,#bus60: delays (busy traffic in via Eustachi/Vitruvius). #ATM
2:02 AM - 24 Dec 2013,1387879330,#tram24 > •: deviates from Missori to Bligny/Ripamonti (irregular parked cars in pta Vigentina). Bus between Missori and Bligny/Ripamonti.
10:59 PM - 23 Dec 2013,1387868365,#Natale #capodanno #Epifania: all information on #ATM during the holidays at: http://bit.ly/1cFbdJs.
10:47 PM - 23 Dec 2013,1387867654,From 27/12 #tram2 #tram4 #tram7 change the route for 15 days (work in via Farini/Ferrari). Info: http://bit.ly/1kXWI85. #ATM
10:37 PM - 23 Dec 2013,1387867021,Good morning from #ATM. Normal traffic conditions on the underground network and surface. Tweeting updates up to 20.
10:15 AM - 23 Dec 2013,1387822557,@deboracca here is the link: http://bit.ly/1c1AW1g here you will find the path changes affecting the line until 7 January.
8:48 AM - 23 Dec 2013,1387817317,@LuigiZucca hi this link http://bit.ly/JHAxIb you will find all the information you need to be updated. Thank you.
7:30 AM - 23 Dec 2013,1387812618,@byruit Hi all info on service expected from Christmas to Epiphany can be found at this link: http://bit.ly/1cFbdJs. Have a good evening.
5:18 AM - 23 Dec 2013,1387804682,#tram1 #tram12 #bus54 #bus61 #bus68 #bus70 #bus92 #bus94 #bus95: delays (traffic in different areas of the city). #ATM #Milano
